Disease,Country,Hospital_Type,Treatment_Type,Stay_Days,City,Room_Type,Treatment_Cost,Travel_Expense,Stay_Cost,Total_Cost
Oncology Treatment,Australia,Public,Radiotherapy,29.0,Mumbai,VIP Suite,38851.53,1539.6,27716.42,68107.54
Spinal Fusion,France,Public,Non-Surgical,8.0,Singapore,Semi-Private,4273.79,970.11,2170.41,7414.3
Cataract Surgery,USA,Public,Radiotherapy,10.0,Mumbai,Private,2573.93,4365.52,3704.73,10644.19
Cataract Surgery,USA,Premium International,Surgical,21.0,Mumbai,Private,15193.1,803.55,8679.15,24675.81
Knee Replacement,USA,Private,Surgical,28.0,Istanbul,VIP Suite,9770.72,1207.31,27678.77,38656.8
Cataract Surgery,UK,Private,Non-Surgical,4.0,Dubai,Semi-Private,5835.47,2955.93,1252.91,10044.3
Oncology Treatment,France,Premium International,Chemotherapy,8.0,Bangkok,Semi-Private,104385.31,2495.12,1607.71,108488.15
Dental Implants,USA,Public,Radiotherapy,25.0,Kuala Lumpur,General Ward,7570.14,3752.04,,13933.15
Spinal Fusion,Canada,Public,Radiotherapy,34.0,Kuala Lumpur,Semi-Private,12903.6,3058.71,6423.85,22386.16
Spinal Fusion,Australia,Private,Radiotherapy,43.0,Mumbai,General Ward,17884.23,2499.85,4468.6,24852.69
Cosmetic Surgery,UAE,Premium International,Surgical,26.0,Seoul,Private,4213.06,758.22,15671.57,20642.86
Cosmetic Surgery,Germany,Premium International,Radiotherapy,11.0,Kuala Lumpur,Private,7521.66,3088.98,4581.22,15191.86
Cataract Surgery,UK,Private,Surgical,21.0,Dubai,General Ward,18516.24,2531.2,3101.29,24148.74
Heart Bypass,USA,Public,Radiotherapy,19.0,Dubai,General Ward,40900.22,673.04,2899.24,44472.5
Dental Implants,USA,Premium International,Non-Surgical,15.0,Singapore,VIP Suite,3374.84,1669.59,22482.58,27527.02
Cataract Surgery,France,Premium International,Non-Surgical,5.0,Mumbai,General Ward,10251.22,594.0,561.58,11406.8
Cosmetic Surgery,UAE,Public,Chemotherapy,19.0,Bangkok,General Ward,11915.12,1650.09,1827.55,15392.76
Spinal Fusion,USA,Premium International,Non-Surgical,12.0,Kuala Lumpur,VIP Suite,13041.55,3727.23,12226.94,28995.72
Spinal Fusion,France,Public,Radiotherapy,42.0,Singapore,VIP Suite,2287.55,1671.38,64689.46,68648.39
Oncology Treatment,UK,Public,Radiotherapy,25.0,Singapore,General Ward,18008.63,1758.37,3888.98,23655.99
Knee Replacement,USA,Public,Non-Surgical,12.0,Bangkok,VIP Suite,8979.43,3888.03,12489.69,25357.15
Cataract Surgery,France,Public,Chemotherapy,17.0,Singapore,Private,4197.9,2786.63,9835.68,16820.21
Dental Implants,UK,Private,Non-Surgical,3.0,Istanbul,Semi-Private,6477.24,1102.42,634.76,8214.41
Oncology Treatment,Canada,Public,Chemotherapy,12.0,Bangkok,VIP Suite,33044.36,3220.86,11101.02,47366.25
Cosmetic Surgery,Germany,Premium International,Non-Surgical,2.0,Mumbai,Private,12293.06,2154.42,799.81,15247.29
Cataract Surgery,Canada,Public,Chemotherapy,28.0,Bangkok,VIP Suite,7472.37,1827.77,28709.21,38009.35
Dental Implants,Germany,Public,Non-Surgical,3.0,Kuala Lumpur,Private,7022.16,667.82,1193.33,8883.3
